iteration,reward_mean,length_mean,games,loss
20500,6.62,9.62,8.0,1.8353490304434672e-05
21000,3.88,6.88,8.0,2.6079835151904263e-05
21500,3.88,6.88,8.0,2.557466723374091e-05
22000,3.38,6.38,8.0,2.468761522322893e-05
22500,3.75,6.75,8.0,2.3355685698334128e-05
23000,2.75,5.75,8.0,7.520860526710749e-05
23500,1.12,4.12,8.0,3.1171068258117884e-05
24000,1.44,4.0,9.0,0.00011617516429396346
24500,1.88,4.88,8.0,1.1676887879730202e-05
25000,2.38,4.88,8.0,1.963883732969407e-05
25500,0.0,2.7,10.0,2.985536411870271e-05
26000,0.62,2.75,8.0,1.657129541854374e-05
26500,2.62,5.62,8.0,2.8815093173761852e-05
27000,4.0,7.0,8.0,2.6748191885417327e-05
27500,5.5,8.5,8.0,1.680622881394811e-05
28000,3.62,6.62,8.0,2.072009738185443e-05
28500,5.88,8.88,8.0,0.0013981834053993225
29000,4.0,7.0,8.0,3.90851273550652e-05
29500,4.88,7.88,8.0,0.00023515392967965454
30000,3.89,6.89,9.0,4.052025542478077e-05
30500,4.62,7.62,8.0,7.24108685972169e-05
31000,4.88,7.88,8.0,1.190035072795581e-05
31500,7.25,10.25,8.0,9.351243534183595e-06
32000,4.22,7.22,9.0,2.902412052208092e-05
32500,2.62,5.62,8.0,1.0781853234220762e-05
33000,3.75,6.75,8.0,1.2056855666742194e-05
33500,3.88,6.88,8.0,1.4462188119068742e-05
34000,2.12,5.12,8.0,2.0864030375378206e-05
34500,1.62,4.62,8.0,1.9787103155977093e-05
35000,3.12,6.12,8.0,3.322181510156952e-05
35500,3.38,6.38,8.0,1.6971125660347752e-05
36000,3.62,6.62,8.0,8.038789019337855e-06
36500,3.75,6.75,8.0,9.457793203182518e-05
37000,2.38,5.38,8.0,4.178720701020211e-06
37500,2.12,5.12,8.0,0.00019672379130497575
38000,1.44,3.78,9.0,7.116967753972858e-05
38500,0.25,3.25,8.0,3.750983523786999e-05
39000,2.62,5.62,8.0,2.160141957574524e-05
39500,0.44,2.78,9.0,7.1121576183941215e-06
40000,2.38,5.38,8.0,0.00013637742085848004
40500,3.5,6.5,8.0,8.70817711984273e-06
41000,1.12,4.12,8.0,1.5062167221913114e-05
41500,2.5,5.5,8.0,4.391397851577494e-06
42000,1.75,4.75,8.0,8.949233233579434e-06
42500,3.5,6.5,8.0,2.9447539418470114e-05
43000,1.25,4.25,8.0,6.627062248298898e-06
43500,1.12,4.12,8.0,1.970896846614778e-05
44000,1.38,4.38,8.0,4.539161636785138e-06
44500,1.62,4.62,8.0,6.775062502129003e-06
45000,1.12,4.12,8.0,1.0444032341183629e-05
45500,2.0,5.0,8.0,8.02994236437371e-06
46000,1.38,4.38,8.0,2.5385772460140288e-05
46500,1.5,4.5,8.0,2.3035312551655807e-05
47000,2.88,5.88,8.0,6.587049028894398e-06
47500,1.88,4.88,8.0,0.00018159781757276505
48000,2.88,5.88,8.0,1.0343417670810595e-05
48500,1.5,4.5,8.0,6.8707049649674445e-06
49000,2.12,5.12,8.0,6.719951215927722e-06
49500,4.88,7.88,8.0,7.010175977484323e-06
50000,2.62,5.62,8.0,0.00015151241677813232
50500,3.0,6.0,8.0,2.379838178967475e-06
51000,1.75,4.75,8.0,1.0660609405022115e-05
51500,2.62,5.62,8.0,1.938412242452614e-05
52000,3.25,6.25,8.0,5.8431564866623376e-06
52500,3.38,6.38,8.0,5.973804491077317e-06
53000,1.12,4.12,8.0,1.4149872185953427e-05
53500,1.5,4.5,8.0,6.055605354049476e-06
54000,1.12,4.12,8.0,9.39302935876185e-06
54500,2.12,5.12,8.0,1.2992843039683066e-05
55000,1.12,4.12,8.0,1.7934464722202392e-06
55500,1.09,3.73,11.0,2.8143696908955462e-05
56000,1.36,3.91,11.0,0.00011791450378950685
56500,2.12,5.12,8.0,1.5837496903259307e-05
57000,2.38,5.38,8.0,5.241945109446533e-05
57500,2.88,5.88,8.0,1.3107543054502457e-05
58000,2.12,5.12,8.0,5.199885436013574e-06
58500,0.75,3.12,8.0,3.1757663236930966e-06
59000,1.62,4.62,8.0,5.0285594625165686e-05
59500,0.62,2.62,8.0,2.4929379378590966e-06
60000,0.75,3.75,8.0,5.969028279650956e-06
60500,2.25,5.25,8.0,6.68006532578147e-06
61000,2.75,5.75,8.0,0.00013045953528489918
61500,1.88,4.88,8.0,1.2865616554336157e-05
62000,2.0,5.0,8.0,9.378029790241271e-05
62500,3.75,6.75,8.0,1.0024369657912757e-05
63000,1.22,4.22,9.0,3.671062586363405e-06
63500,1.62,4.62,8.0,5.345490080799209e-06
64000,2.0,5.0,8.0,1.1199327673239168e-05
64500,2.38,5.38,8.0,7.69042526371777e-06
65000,3.75,6.75,8.0,8.596615771239158e-06
65500,1.5,4.5,8.0,3.411708121348056e-06
66000,1.62,4.62,8.0,3.4639924706425518e-06
66500,0.75,2.75,8.0,4.6476893658109475e-06
67000,2.09,4.73,11.0,1.0581261449260637e-05
67500,1.75,4.75,8.0,8.77375714480877e-06
68000,1.75,4.75,8.0,1.2257711205165833e-05
68500,0.38,3.38,8.0,3.5643136016005883e-06
69000,0.62,3.62,8.0,5.711449375667144e-06
69500,2.5,5.5,8.0,1.9585982045100536e-06
70000,1.88,4.88,8.0,4.232987066643545e-06
70500,3.12,6.12,8.0,5.719933596992632e-06
71000,1.88,4.38,8.0,0.00011453933984739706
71500,1.3,3.8,10.0,5.821364902658388e-05
72000,2.75,5.75,8.0,1.570699896547012e-05
72500,1.75,4.75,8.0,1.6424704881501384e-05
73000,2.25,5.25,8.0,3.3506994441268034e-06
73500,1.88,4.88,8.0,5.605315891443752e-06
74000,2.25,5.25,8.0,6.742481218680041e-06
74500,0.5,3.5,8.0,1.3527852615879965e-06
75000,2.75,5.75,8.0,8.53467372508021e-06
75500,1.5,4.0,8.0,7.162131623772439e-06
76000,3.62,6.62,8.0,7.773038305458613e-06
76500,1.12,3.12,8.0,2.301525682923966e-06
77000,2.88,5.88,8.0,7.53386048018001e-05
77500,0.75,2.88,8.0,7.278694283741061e-06
78000,1.9,4.9,10.0,1.920539580169134e-05
78500,0.33,2.56,9.0,1.1296174307062756e-05
79000,1.12,3.5,8.0,1.0954733625112567e-05
79500,0.25,2.62,8.0,6.9251536842784844e-06
80000,2.5,5.0,8.0,6.229974678717554e-05
80500,3.62,6.62,8.0,6.558037512149895e-06
81000,1.22,3.56,9.0,3.236948259655037e-06
81500,1.8,4.3,10.0,1.3107822269375902e-05
82000,2.75,5.75,8.0,2.8549575290526263e-05
82500,3.12,6.12,8.0,6.437681804527529e-06
83000,2.62,5.62,8.0,4.491724212130066e-06
83500,2.88,5.88,8.0,1.934018882820965e-06
84000,0.44,2.89,9.0,7.297966476471629e-06
84500,3.12,6.12,8.0,2.5562028895365074e-05
85000,1.75,4.75,8.0,1.3680325537279714e-05
85500,3.3,5.9,10.0,8.62681645230623e-06
86000,2.25,5.25,8.0,5.753339337388752e-06
86500,2.38,5.38,8.0,7.486444246751489e-06
87000,1.0,3.5,10.0,5.096235327073373e-05
87500,1.62,4.62,8.0,1.5904190149740316e-05
88000,1.44,3.78,9.0,3.957076842198148e-06
88500,2.75,5.75,8.0,4.2619172745617107e-05
89000,1.38,4.38,8.0,1.7057717514035176e-06
89500,0.12,2.88,8.0,2.2052831809560303e-06
90000,3.5,6.5,8.0,6.0261154430918396e-05
90500,0.44,2.89,9.0,1.598383823875338e-05
91000,2.18,4.73,11.0,7.544225809397176e-06
91500,1.9,4.3,10.0,2.5591220037313178e-05
92000,0.89,3.33,9.0,3.3332122256979346e-05
92500,2.62,5.62,8.0,1.989759039133787e-05
93000,1.6,4.3,10.0,6.449579359468771e-06
93500,3.0,6.0,8.0,9.484319889452308e-06
94000,1.09,3.64,11.0,3.7678332773793954e-06
94500,1.0,3.0,8.0,8.583465387346223e-06
95000,0.6,3.2,10.0,4.0925267967395484e-05
95500,1.88,4.5,8.0,1.3345681509235874e-05
96000,2.62,5.62,8.0,2.4220953491749242e-05
96500,3.0,5.4,10.0,5.656062057823874e-06
97000,3.88,6.88,8.0,6.630625648540445e-06
97500,1.75,4.25,8.0,3.796261353272712e-06
98000,3.25,6.25,8.0,1.1013895345968194e-05
98500,3.0,6.0,8.0,0.005833273287862539
99000,1.75,4.75,8.0,4.2757433220685925e-06
99500,2.75,5.75,8.0,1.331513067270862e-05
100000,2.67,5.25,12.0,2.281905835843645e-06
100500,3.62,6.62,8.0,1.1705000360962003e-05
101000,3.12,6.12,8.0,1.761826206347905e-05
101500,1.56,4.22,9.0,2.4632136046420783e-06
102000,1.12,4.12,8.0,3.5148364077031147e-06
102500,4.25,7.25,8.0,1.7851547454483807e-05
103000,3.55,6.18,11.0,0.005761185195297003
103500,1.56,3.89,9.0,3.34117908096232e-06
104000,2.88,5.88,8.0,1.1342963261995465e-05
104500,2.25,5.25,8.0,1.3722512449021451e-05
105000,3.12,6.12,8.0,4.466092832444701e-06
105500,2.25,5.25,8.0,3.599977571866475e-05
106000,5.62,8.62,8.0,6.917084647284355e-07
106500,4.25,7.25,8.0,8.162148333212826e-06
107000,4.62,7.62,8.0,0.00010813256812980399
107500,2.12,4.5,8.0,8.566188625991344e-06
108000,2.88,5.88,8.0,2.031541407632176e-05
108500,4.5,7.5,8.0,4.656862074625678e-06
109000,5.25,8.25,8.0,5.752588094765088e-06
109500,2.62,5.62,8.0,1.0947275768558029e-05
110000,1.25,4.25,8.0,5.715369752579136e-06
110500,0.78,3.0,9.0,3.010327645824873e-06
111000,1.88,4.88,8.0,3.118106906185858e-05
111500,3.88,6.88,8.0,3.8253620004979894e-05
112000,2.56,5.0,9.0,9.827997928368859e-06
112500,3.38,6.38,8.0,2.6656161935534328e-05
113000,1.78,4.0,9.0,7.974230356921908e-06
113500,2.62,5.62,8.0,1.4284027201938443e-05
114000,3.25,6.25,8.0,1.2237848750373814e-05
114500,2.5,5.5,8.0,1.5600123788317433e-06
115000,3.0,5.5,8.0,8.309712939080782e-06
115500,2.88,5.88,8.0,6.372719326463994e-06
116000,3.62,6.62,8.0,2.7547105219127843e-06
116500,0.25,2.5,8.0,8.023262125789188e-06
117000,4.75,7.75,8.0,2.6120469556190073e-05
117500,2.25,5.25,8.0,1.0120577826455701e-05
118000,0.56,2.78,9.0,2.5884357455652207e-05
118500,5.0,8.0,8.0,1.0443870451126713e-05
119000,4.88,7.88,8.0,6.882488378323615e-06
119500,3.38,6.38,8.0,3.6514936709863832e-06
120000,6.62,9.62,8.0,8.328087801601214e-07
120500,1.75,3.88,8.0,6.525623348352383e-07
121000,4.0,6.6,10.0,1.3994454093335662e-05
121500,4.12,7.12,8.0,2.4357429992960533e-06
122000,2.88,5.88,8.0,5.57211933482904e-06
122500,5.5,8.5,8.0,1.9617387806647457e-05
123000,3.88,6.88,8.0,2.4271478196169483e-06
123500,3.75,6.75,8.0,5.917421731282957e-05
124000,3.88,6.88,8.0,2.857730578398332e-05
124500,3.5,6.5,8.0,4.068789166922215e-06
125000,4.25,7.25,8.0,3.1763090646563796e-06
125500,1.88,4.88,8.0,8.45488320919685e-05
126000,3.75,6.75,8.0,6.11710493103601e-05
126500,2.5,5.5,8.0,4.341252406447893e-06
127000,1.89,4.33,9.0,5.0510611799836624e-06
127500,6.25,9.25,8.0,2.6325680664740503e-05
128000,3.62,6.62,8.0,1.788909003153094e-06
128500,2.5,5.5,8.0,1.3278462347443565e-06
129000,3.38,6.38,8.0,2.140758169844048e-06
129500,4.25,7.25,8.0,5.430171768239234e-06
130000,4.62,7.62,8.0,3.3597757465031464e-06
130500,4.62,7.62,8.0,2.80655876849778e-06
131000,2.0,4.12,8.0,6.605915132240625e-06
131500,2.0,5.0,8.0,2.8820199986512307e-06
132000,1.38,4.38,8.0,2.352977571717929e-05
132500,3.88,6.88,8.0,1.7194626707350835e-05
133000,2.62,5.62,8.0,1.894692900350492e-06
133500,3.0,6.0,8.0,1.1958370123466011e-05
134000,2.5,5.5,8.0,2.7148707886226475e-06
134500,3.38,6.38,8.0,7.332269160542637e-05
135000,0.62,2.62,8.0,2.6455827537574805e-06
135500,4.25,7.25,8.0,2.0107872842345387e-05
136000,4.75,7.75,8.0,5.198345206736121e-06
136500,4.12,7.12,8.0,7.094157581377658e-07
137000,1.56,4.11,9.0,1.0905134786298731e-06
137500,3.12,6.12,8.0,5.482260803546524e-06
138000,3.88,6.88,8.0,2.366101398365572e-06
138500,4.38,7.38,8.0,4.825362793781096e-06
139000,4.38,7.38,8.0,1.0630419637891464e-05
139500,2.88,5.62,8.0,6.375983502948657e-06
140000,2.0,4.64,11.0,2.73283194474061e-06
140500,2.5,5.0,10.0,2.1094263502163813e-05
141000,4.5,7.5,8.0,7.554476906079799e-05
141500,5.25,8.25,8.0,7.563234703411581e-06
142000,5.12,8.12,8.0,3.869213105645031e-05
142500,3.88,6.88,8.0,3.669460511446232e-06
143000,5.12,8.12,8.0,9.727453289087862e-06
143500,4.0,7.0,8.0,2.4082053641905077e-05
144000,4.5,7.5,8.0,8.018737389647868e-06
144500,2.67,5.33,9.0,2.8736229069181718e-05
145000,3.88,6.88,8.0,6.507631951535586e-06
145500,3.88,6.88,8.0,9.263497418032784e-07
146000,2.4,5.1,10.0,8.085730769380461e-06
146500,2.56,5.0,9.0,3.5495744668878615e-05
147000,3.38,6.38,8.0,8.985000749817118e-05
147500,5.25,8.25,8.0,2.8736919830407714e-06
148000,2.12,4.62,8.0,1.770270955603337e-06
148500,4.38,7.38,8.0,2.9286808057804592e-05
149000,2.12,5.12,8.0,9.03905038285302e-06
149500,4.0,7.0,8.0,1.072616760211531e-05
150000,4.0,6.62,8.0,3.6715398437081603e-06
150500,4.25,7.25,8.0,1.0137348908756394e-05
151000,3.1,5.8,10.0,8.8377937572659e-06
151500,2.75,5.75,8.0,1.8219118373963283e-06
152000,5.12,8.12,8.0,3.0615992727689445e-05
152500,5.75,8.75,8.0,1.665962736296933e-05
153000,3.75,6.75,8.0,2.277186922583496e-06
153500,2.0,5.0,8.0,7.527034540544264e-06
154000,4.38,7.38,8.0,5.479575520439539e-06
154500,4.38,7.38,8.0,1.066997901943978e-05
155000,1.38,4.38,8.0,3.276241841376759e-06
155500,1.62,3.75,8.0,3.2151547202374786e-05
156000,6.38,9.38,8.0,2.245816904178355e-05
156500,4.12,7.12,8.0,2.184542381655774e-06
157000,2.5,5.0,8.0,1.5232491250571911e-06
157500,3.5,6.5,8.0,8.693870768183842e-06
158000,3.0,6.0,8.0,1.1052790796384215e-05
158500,3.5,6.5,8.0,9.530619536235463e-06
159000,4.0,7.0,8.0,3.183224862368661e-06
159500,3.38,6.38,8.0,1.7328489775536582e-05
160000,5.12,8.12,8.0,5.285561201162636e-06
160500,7.62,10.62,8.0,7.539799298683647e-06
161000,3.75,6.75,8.0,3.874451067531481e-06
161500,2.75,4.88,8.0,4.021208042104263e-06
162000,3.3,5.8,10.0,5.973598490527365e-06
162500,6.0,9.0,8.0,1.009261450235499e-05
163000,3.62,6.62,8.0,4.616002115653828e-05
163500,5.5,8.5,8.0,2.7946218324359506e-05
164000,1.75,4.75,8.0,3.5337693589099217e-06
164500,2.4,4.9,10.0,1.612699452380184e-05
165000,1.62,3.75,8.0,3.427834963076748e-05
165500,3.25,6.25,8.0,7.940967407193966e-06
166000,3.5,6.5,8.0,6.617732196900761e-06
166500,5.0,8.0,8.0,3.1649876746087102e-06
167000,5.75,8.75,8.0,3.4778568078763783e-06
167500,4.75,7.75,8.0,5.430827059171861e-06
168000,5.38,8.38,8.0,1.2743747674903716e-06
168500,2.7,5.3,10.0,1.9861681721522473e-05
169000,3.25,6.25,8.0,5.490940748131834e-05
169500,4.0,7.0,8.0,6.947818746994017e-06
170000,5.5,8.5,8.0,4.79561640531756e-06
170500,3.38,6.38,8.0,3.7984136724844575e-06
171000,5.75,8.75,8.0,1.0171705980610568e-05
171500,5.12,8.12,8.0,3.696240582939936e-06
172000,2.27,4.82,11.0,2.1165205907891504e-05
172500,4.88,7.88,8.0,4.016284583485685e-05
173000,7.38,10.38,8.0,6.918404687894508e-05
173500,4.25,7.25,8.0,1.1072797860833816e-05
174000,5.38,8.38,8.0,3.083221599808894e-05
174500,6.12,9.12,8.0,4.4078269638703205e-06
175000,4.62,7.62,8.0,2.575244252511766e-06
175500,5.12,8.12,8.0,1.1824437024188228e-05
176000,4.75,7.75,8.0,8.843115210765973e-06
176500,4.62,7.62,8.0,3.58107376996486e-06
177000,4.62,7.62,8.0,1.5981601109160692e-06
177500,6.0,9.0,8.0,1.0852379546122393e-06
178000,3.88,6.88,8.0,1.547172541904729e-05
178500,2.78,5.44,9.0,1.9019456885871477e-05
179000,1.0,3.38,8.0,9.338892596133519e-06
179500,1.38,4.0,8.0,6.620008662139298e-06
180000,3.62,6.62,8.0,1.3224785107013304e-05
180500,6.62,9.62,8.0,2.748343104030937e-05
181000,6.38,9.38,8.0,7.961800292832777e-06
181500,4.75,7.75,8.0,2.132419012923492e-06
182000,3.25,6.25,8.0,7.277546046680072e-06
182500,1.73,4.36,11.0,9.949287232302595e-06
183000,5.38,8.38,8.0,4.806550350622274e-06
183500,5.5,8.5,8.0,2.8752156140399165e-06
184000,2.33,5.0,9.0,5.649426384479739e-06
184500,3.38,6.38,8.0,1.6013347021726076e-06
185000,4.62,7.62,8.0,3.5667478641698835e-06
185500,4.0,7.0,8.0,3.6821531921304995e-06
186000,4.0,7.0,8.0,5.3596063480654266e-06
186500,3.75,6.75,8.0,2.617718928377144e-05
187000,5.5,8.5,8.0,3.870600721711526e-06
187500,3.75,6.75,8.0,1.5342225196945947e-06
188000,6.38,9.38,8.0,7.809183443896472e-06
188500,4.0,7.0,8.0,3.4791753478202736e-06
189000,5.5,8.5,8.0,4.061147592437919e-06
189500,4.12,7.12,8.0,8.638899089419283e-06
190000,3.0,6.0,8.0,1.9289989722892642e-05
190500,5.25,8.25,8.0,2.704399776121136e-06
191000,1.0,4.0,8.0,0.0001307326601818204
191500,4.5,7.5,8.0,1.710516880848445e-05
192000,4.62,7.62,8.0,1.2079549378540833e-06
192500,1.75,4.75,8.0,1.0757190466392785e-05
193000,4.12,7.12,8.0,5.054683242633473e-06
193500,3.5,6.5,8.0,9.537949154037051e-06
194000,2.38,5.38,8.0,1.5852781871217303e-05
194500,3.88,6.88,8.0,1.8904458556789905e-05
195000,5.25,8.25,8.0,1.3358178421185585e-06
195500,5.12,8.12,8.0,1.8226469364890363e-06
196000,5.0,8.0,8.0,1.5147246813285165e-05
196500,4.88,7.88,8.0,1.024091943691019e-05
197000,4.5,7.5,8.0,3.5358000332053052e-06
197500,3.75,6.75,8.0,2.3382867766486015e-06
198000,3.25,6.25,8.0,1.672842881816905e-05
198500,2.67,5.67,9.0,7.296976036741398e-06
199000,3.12,6.12,8.0,2.3716597752354573e-06
199500,3.2,5.8,10.0,1.386376879963791e-06
200000,4.38,7.38,8.0,1.4469279449258465e-05
200500,3.5,6.5,8.0,8.80330571817467e-06
201000,2.38,5.38,8.0,8.680474820721429e-06
201500,4.5,7.5,8.0,7.063094926706981e-06
202000,2.62,5.62,8.0,1.195895401906455e-05
202500,2.9,5.5,10.0,4.685393832914997e-06
203000,4.88,7.88,8.0,2.928254434664268e-05
203500,2.5,5.5,8.0,5.789716851722915e-06
204000,3.89,6.56,9.0,1.1076748705818318e-05
204500,3.62,6.62,8.0,2.5765341433725553e-06
205000,6.25,9.25,8.0,1.023811364575522e-05
205500,4.0,7.0,8.0,2.230453446827596e-06
206000,2.09,4.64,11.0,2.3050297386362217e-06
206500,1.5,3.62,8.0,2.2577232812182046e-05
207000,3.25,6.25,8.0,2.9711779916397063e-06
207500,1.5,3.75,8.0,1.0092541742778849e-05
208000,4.67,7.11,9.0,1.548631007608492e-05
208500,5.88,8.88,8.0,8.8462843450543e-07
209000,2.75,5.75,8.0,2.326024059584597e-06
209500,3.5,6.5,8.0,2.0671090169344097e-05
210000,3.88,6.88,8.0,6.4096566347870976e-06
210500,5.0,8.0,8.0,1.3331861737242434e-05
211000,5.5,8.5,8.0,1.6668743683112552e-06
211500,4.75,7.75,8.0,1.419683758285828e-05
212000,6.88,9.88,8.0,1.2231600521772634e-05
212500,4.25,7.25,8.0,1.8380878827883862e-05
213000,3.12,6.12,8.0,7.182608896982856e-06
213500,4.25,7.25,8.0,1.219275964103872e-05
214000,4.38,7.38,8.0,1.2915148772663088e-06
214500,4.88,7.88,8.0,2.586846676422283e-05
215000,4.44,7.11,9.0,1.2789180345862405e-06
215500,5.5,8.5,8.0,4.041509237140417e-05
216000,5.38,8.38,8.0,1.1293430361547507e-05
216500,3.0,6.0,8.0,7.997075954335742e-06
217000,2.25,5.25,8.0,1.1135649629068212e-06
217500,6.25,9.25,8.0,9.126701115746982e-06
218000,1.75,4.75,8.0,3.0603639515902614e-06
218500,3.88,6.88,8.0,4.825748874281999e-06
219000,4.88,7.88,8.0,2.6694356165535282e-06
219500,5.0,8.0,8.0,2.8985452900087694e-06
220000,2.75,5.75,8.0,1.0247771569993347e-05
220500,5.75,8.75,8.0,1.1447552878962597e-06
221000,4.12,7.12,8.0,1.3564826986112166e-05
221500,4.12,7.12,8.0,5.554246399697149e-06
222000,3.88,6.88,8.0,2.9625607567140833e-06
222500,3.88,6.88,8.0,4.856552550336346e-06
223000,4.25,7.25,8.0,5.432694251794601e-06
223500,2.75,5.75,8.0,2.5461072254984174e-06
224000,3.5,6.5,8.0,7.74632553657284e-06
224500,4.12,7.12,8.0,1.1587370636334526e-06
225000,3.0,6.0,8.0,0.005125223658978939
225500,5.88,8.88,8.0,2.5881883630063385e-05
226000,1.75,4.25,8.0,5.970115125819575e-06
226500,4.0,7.0,8.0,2.900776598835364e-05
227000,5.88,8.88,8.0,5.103616786072962e-06
227500,4.38,7.38,8.0,1.4922275113349315e-06
228000,4.75,7.75,8.0,1.435339754607412e-06
228500,4.75,7.75,8.0,5.2040959417354316e-06
229000,3.0,6.0,8.0,2.016140570049174e-06
229500,5.75,8.75,8.0,7.318631105590612e-06
230000,3.62,6.62,8.0,2.1524556359509006e-06
230500,2.12,4.5,8.0,1.2556637557281647e-05
231000,4.25,7.25,8.0,2.1836554878973402e-05
231500,5.0,8.0,8.0,1.4013498002896085e-05
232000,3.0,5.6,10.0,5.473192231875146e-06
232500,6.75,9.75,8.0,2.421168755972758e-05
233000,3.25,6.25,8.0,1.6570115803915542e-06
233500,3.62,6.62,8.0,4.263410119165201e-06
234000,4.75,7.75,8.0,0.00027134743868373334
234500,4.12,7.12,8.0,1.422536570316879e-06
235000,5.0,8.0,8.0,8.950001756602433e-06
235500,3.5,6.5,8.0,1.921554394357372e-05
236000,5.62,8.62,8.0,2.14026158573688e-06
236500,3.22,5.67,9.0,6.295210368989501e-06
237000,4.38,7.38,8.0,3.859944627038203e-05
237500,3.38,6.38,8.0,1.4068122254684567e-05
238000,3.62,6.62,8.0,2.910347939177882e-05
238500,3.75,6.75,8.0,2.6846121272683376e-06
239000,2.33,4.89,9.0,1.193635171148344e-06
239500,2.25,4.75,12.0,3.0152762064972194e-06
240000,0.62,3.62,8.0,1.3049258996034041e-05
240500,4.25,7.25,8.0,4.961877493769862e-05
241000,3.25,6.25,8.0,2.074965095744119e-06
241500,2.56,5.0,9.0,5.613786015601363e-06
242000,4.25,7.25,8.0,2.9990524126333185e-06
242500,6.12,9.12,8.0,5.8170339798380155e-06
243000,4.62,7.62,8.0,1.320282171946019e-05
243500,3.25,6.25,8.0,1.5974587768141646e-06
244000,5.75,8.75,8.0,1.2624394003069028e-05
244500,4.12,7.12,8.0,2.3728275664325338e-06
245000,3.88,6.88,8.0,3.4628078537934925e-06
245500,7.62,10.62,8.0,4.351555617176928e-06
246000,4.12,7.12,8.0,6.5365611590095796e-06
246500,3.5,6.5,8.0,3.135796987407957e-06
247000,7.12,10.12,8.0,2.3572431473439792e-06
247500,3.62,6.62,8.0,8.996452379506081e-05
248000,5.25,8.25,8.0,7.055740752548445e-06
248500,7.0,10.0,8.0,1.6174515621969476e-05
249000,3.62,6.62,8.0,1.0614195161906537e-05
249500,4.5,7.5,8.0,2.3995778974494897e-05
250000,6.12,9.12,8.0,4.171455293544568e-05
250500,3.62,6.62,8.0,6.19816228208947e-06
251000,5.0,8.0,8.0,3.95417409890797e-05
251500,2.0,5.0,8.0,2.6416348646307597e-06
252000,6.0,9.0,8.0,3.486664718366228e-05
252500,2.0,5.0,8.0,1.597462505742442e-05
253000,1.78,4.33,9.0,3.97780740968301e-06
253500,3.0,6.0,8.0,2.809189481922658e-06
254000,2.88,5.88,8.0,4.305234688217752e-05
254500,2.82,5.45,11.0,7.328060746658593e-05
255000,5.75,8.75,8.0,4.088577952643391e-06
255500,5.62,8.62,8.0,2.4482293156324886e-05
256000,4.88,7.88,8.0,1.9428789528319612e-05
256500,4.5,7.5,8.0,3.1651479730498977e-06
257000,3.18,5.82,11.0,3.932206254830817e-06
257500,2.25,4.62,8.0,2.0572826542775147e-05
258000,6.62,9.62,8.0,8.627112038084306e-07
258500,3.38,6.38,8.0,1.991432327486109e-05
259000,4.11,6.67,9.0,1.0060933846034459e-06
259500,3.75,6.75,8.0,3.825740350293927e-06
260000,3.38,6.38,8.0,3.084538320763386e-06
260500,5.62,8.62,8.0,0.00010779616422951221
261000,4.0,7.0,8.0,5.145996055944124e-06
261500,3.64,6.18,11.0,4.5993774620001204e-06
262000,4.38,7.38,8.0,4.3892259782296605e-06
262500,2.62,5.62,8.0,2.5308536351076327e-06
263000,1.0,3.7,10.0,5.547715772991069e-06
263500,3.5,6.5,8.0,1.5736148270661943e-05
264000,3.12,6.12,8.0,1.1238932984269923e-06
264500,5.62,8.62,8.0,2.53101643465925e-05
